ChassisId,Timestamp,PresNo,MeasureName,ValueNumber,DatasetNumber,Unit,MeasureValue,MeasureValueDelta,LogHours,MachineHours,Color,Source,Type,load_datetime
A60H3210,2024-12-15T16:00:56Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,37.93886621069046,82.36860092815772,15473.618611111113,20459.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-15T16:00:56Z,1172,Machine utilization (%),3,1,Gear engaged,63.49374345918031,65.57697348042602,15473.60638888889,20459.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-12T17:55:50Z,646,Brake Usage (%),2,1,Retarder activated,23.616935084073088,10.754041235117608,15755.203611111112,20740.85,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-12T17:55:50Z,646,Brake Usage (%),3,1,Service brake activated,50.51762836592858,77.93050043558223,15755.203611111112,20740.85,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-12T17:55:50Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.115147403050834,47.75743398263529,15755.22472222222,20740.85,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-12T17:55:50Z,1172,Machine utilization (%),3,1,Gear engaged,63.5397642435311,62.92343785763333,15755.2175,20740.85,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T18:19:45Z,646,Brake Usage (%),2,1,Retarder activated,23.83467069169437,6.535119478638668,15329.851111111111,20315.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T18:19:45Z,646,Brake Usage (%),3,1,Service brake activated,50.0714256223938,86.7668356263577,15329.851111111111,20315.65,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T18:19:45Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.007520083347615,19.64535981963317,15329.879722222222,20315.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T18:19:45Z,1172,Machine utilization (%),3,1,Gear engaged,63.54031160852232,64.74714063683099,15329.865277777775,20315.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-23T16:00:56Z,646,Brake Usage (%),2,1,Retarder activated,23.885303959753557,18.23636363636364,15220.708333333334,20206.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-23T16:00:56Z,646,Brake Usage (%),3,1,Service brake activated,49.970266708994735,60.61818181818182,15220.708333333334,20206.55,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-23T16:00:56Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.10649604077559,13.910848166471157,15220.737777777778,20206.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-23T16:00:56Z,1172,Machine utilization (%),3,1,Gear engaged,63.53945163320014,66.5346840129583,15220.7225,20206.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T00:04:37Z,646,Brake Usage (%),2,1,Retarder activated,23.84047476925865,15.324506186238333,15322.880833333333,20308.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T00:04:37Z,646,Brake Usage (%),3,1,Service brake activated,50.05911414660503,66.76796179726503,15322.880833333333,20308.65,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T00:04:37Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.01608093010576,16.6394779771615,15322.909444444444,20308.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-09T00:04:37Z,1172,Machine utilization (%),3,1,Gear engaged,63.53976263043708,67.56710500042787,15322.895,20308.65,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-21T16:01:20Z,646,Brake Usage (%),2,1,Retarder activated,23.73346672314704,16.213144769240483,15544.509444444444,20530.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-21T16:01:20Z,646,Brake Usage (%),3,1,Service brake activated,50.274710913630095,66.41833449081382,15544.509444444444,20530.2,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-21T16:01:20Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.20738603526529,91.09149072296864,15544.535277777775,20530.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-21T16:01:20Z,1172,Machine utilization (%),3,1,Gear engaged,63.51118297556919,67.96929886188,15544.523611111112,20530.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-28T18:37:34Z,646,Brake Usage (%),2,1,Retarder activated,23.70594447576525,8.056042031523642,15593.31027777778,20579.0,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-28T18:37:34Z,646,Brake Usage (%),3,1,Service brake activated,50.33311495364507,83.88791593695272,15593.31027777778,20579.0,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-28T18:37:34Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.18858421162646,18.055729101586905,15593.333333333334,20579.0,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-28T18:37:34Z,1172,Machine utilization (%),3,1,Gear engaged,63.510561775839726,70.28728497960631,15593.324166666667,20579.0,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-30T16:01:01Z,646,Brake Usage (%),2,1,Retarder activated,23.49606794985465,12.140005097272958,15972.949166666667,20958.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-30T16:01:01Z,646,Brake Usage (%),3,1,Service brake activated,50.77667203378928,73.86798063036275,15972.949166666667,20958.55,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-30T16:01:01Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.55697377820562,46.42985473024999,15972.9725,20958.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-30T16:01:01Z,1172,Machine utilization (%),3,1,Gear engaged,63.60815988572913,70.1406556662063,15972.963333333331,20958.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-22T19:41:39Z,646,Brake Usage (%),2,1,Retarder activated,23.730890472221827,,15553.118055555557,20538.8,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-22T19:41:39Z,646,Brake Usage (%),3,1,Service brake activated,50.28038599005811,,15553.118055555557,20538.8,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-22T19:41:39Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.24005656773837,,15553.143333333332,20538.8,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-12-22T19:41:39Z,1172,Machine utilization (%),3,1,Gear engaged,63.50939385628576,0.0,15553.132222222222,20538.8,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-04T19:40:08Z,646,Brake Usage (%),2,1,Retarder activated,23.66596391142321,0.5319148936170213,15671.65138888889,20657.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-04T19:40:08Z,646,Brake Usage (%),3,1,Service brake activated,50.41686760750793,98.93617021276596,15671.65138888889,20657.3,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-04T19:40:08Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.132264121735474,0.1556939501779359,15671.673611111111,20657.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-04T19:40:08Z,1172,Machine utilization (%),3,1,Gear engaged,63.51913427621807,50.43127908296447,15671.665277777778,20657.3,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-21T18:36:07Z,646,Brake Usage (%),2,1,Retarder activated,23.8944899554044,8.616740088105727,15193.33,20179.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-21T18:36:07Z,646,Brake Usage (%),3,1,Service brake activated,49.95294100658642,82.16740088105728,15193.33,20179.15,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-21T18:36:07Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.1477415232803,4.608740492458425,15193.359444444444,20179.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-21T18:36:07Z,1172,Machine utilization (%),3,1,Gear engaged,63.538331111356506,70.09217851601716,15193.344444444445,20179.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-20T23:55:00Z,646,Brake Usage (%),2,1,Retarder activated,23.89979679440869,2.364864864864865,15187.242777777778,20173.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-20T23:55:00Z,646,Brake Usage (%),3,1,Service brake activated,49.94175107654771,95.27027027027027,15187.242777777778,20173.1,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-20T23:55:00Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.16265725435733,6.33147113594041,15187.273055555555,20173.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-20T23:55:00Z,1172,Machine utilization (%),3,1,Gear engaged,63.53570425615949,27.13218242720948,15187.257222222222,20173.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-11T16:01:00Z,646,Brake Usage (%),2,1,Retarder activated,23.624843774177805,11.519652236913602,15745.494444444445,20731.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-11T16:01:00Z,646,Brake Usage (%),3,1,Service brake activated,50.50077368978611,76.84296323129868,15745.494444444445,20731.15,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-11T16:01:00Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.109222675672775,26.908292147171885,15745.515833333331,20731.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-11T16:01:00Z,1172,Machine utilization (%),3,1,Gear engaged,63.540144278533326,72.37995936263502,15745.50861111111,20731.15,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-31T16:06:56Z,646,Brake Usage (%),2,1,Retarder activated,23.858771711865103,1.5050167224080269,15285.959444444445,20271.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-31T16:06:56Z,646,Brake Usage (%),3,1,Service brake activated,50.02359679404918,94.64882943143812,15285.959444444445,20271.75,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-31T16:06:56Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.06276269777084,4.672897196261682,15285.989166666666,20271.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-31T16:06:56Z,1172,Machine utilization (%),3,1,Gear engaged,63.54294367098262,60.61068702290077,15285.97388888889,20271.75,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-05T12:13:18Z,646,Brake Usage (%),2,1,Retarder activated,23.84865304644669,,15306.791666666666,20292.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-05T12:13:18Z,646,Brake Usage (%),3,1,Service brake activated,50.04257319218336,,15306.791666666666,20292.55,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-05T12:13:18Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.025916174196986,,15306.814166666669,20292.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-05T12:13:18Z,1172,Machine utilization (%),3,1,Gear engaged,63.54155216825668,,15306.799166666666,20292.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-12T23:37:44Z,646,Brake Usage (%),2,1,Retarder activated,23.82273224755313,17.206420726555898,15357.754444444445,20343.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-12T23:37:44Z,646,Brake Usage (%),3,1,Service brake activated,50.095359968649646,64.16502393691917,15357.754444444445,20343.55,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-12T23:37:44Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,37.98382666724979,28.76589546804101,15357.783055555556,20343.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-11-12T23:37:44Z,1172,Machine utilization (%),3,1,Gear engaged,63.541318791097545,71.22041539204636,15357.76888888889,20343.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-29T23:29:28Z,646,Brake Usage (%),2,1,Retarder activated,23.860752170729857,13.33012512030799,15280.766111111112,20266.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-29T23:29:28Z,646,Brake Usage (%),3,1,Service brake activated,50.01944909191821,72.95476419634264,15280.766111111112,20266.55,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-29T23:29:28Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.07020453794559,18.83343786399068,15280.796388888888,20266.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-29T23:29:28Z,1172,Machine utilization (%),3,1,Gear engaged,63.54692650408166,60.27427197727149,15280.780555555555,20266.55,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-13T16:01:23Z,646,Brake Usage (%),2,1,Retarder activated,23.91864044403641,17.420639309810863,15143.3725,20129.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-13T16:01:23Z,646,Brake Usage (%),3,1,Service brake activated,49.90294618068465,63.78719168233602,15143.3725,20129.2,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-13T16:01:23Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.18313596539591,32.19431340048451,15143.402777777776,20129.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-13T16:01:23Z,1172,Machine utilization (%),3,1,Gear engaged,63.52821561711427,70.63619555663323,15143.386666666667,20129.2,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T16:00:52Z,646,Brake Usage (%),2,1,Retarder activated,23.609332301321533,13.042091836734691,15768.483888888888,20754.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T16:00:52Z,646,Brake Usage (%),3,1,Service brake activated,50.53403520120694,73.5969387755102,15768.483888888888,20754.1,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T16:00:52Z,631,Longitudinal difflock use related to machine in motion (%),2,1,Longitudinal difflock engaged,38.16556101983121,99.99597001692592,15768.505833333333,20754.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2025-01-13T16:00:52Z,1172,Machine utilization (%),3,1,Gear engaged,63.54015115897479,63.95551735812693,15768.498055555556,20754.1,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-26T19:00:10Z,646,Brake Usage (%),2,1,Retarder activated,23.873097730840158,13.531195149194192,15254.064444444444,20239.85,Green,WECU,graph,2025-03-18T09:08:06.369Z
A60H3210,2024-10-26T19:00:10Z,646,Brake Usage (%),3,1,Service brake activated,49.99284963196635,72.10786660284028,15254.064444444444,20239.85,DarkGray,WECU,graph,2025-03-18T09:08:06.369Z
